name
Cantina del Signore Gattinara Riserva Nebbiolo 2006 750ml
"Lopez Heredia ""Vina Tondonia"" RV 2004 750ml"
Cantina Della Volta Rimosso Lambusco di Sorbara 2013 750ml
"Cantina Di Monteforte D'Alpone Amarone della Valpolicella ""Clivus"" Corvina, Corvinone, Rondinella 2015 750ml"
Cantina Giardino Nude Aglianico 2007 750ml
Cantina Giardino Aglianico La Fole Aglianico 2014 750ml
"Cantina Supersanum Terra d'Otranto ""Don Mose"" Negroamaro 2016 750ml"
"Cantina Terlan Terlaner Classico Chardonnay, Pinot Bianco, Sauvignon Blanc 2017 750ml"
"Terlano ""Quarz"" Sauvignon Blanc 2017 750ml"
Cameron Winery Clos Electrique Pinot Noir 2015 750ml
"Cameron Winery ""Clos Electrique"" Chardonnay 2012 750ml"
"Flavio Roddolo, Barbera, Bricco Appiani 2010 750ml"
"Canalicchio Di Sopra, Brunello Di Montalcino 2001 750ml"
Cantina Bambinuto Toppole Aglianico 2013 750ml
Cantina del Pino Barbaresco Nebbiolo 2012 750ml
"Cantina del Signore Costa della Sesia ""La Crotta"" Spanna 2010 750ml"
Camerlengo Antelio Aglianico 2015 750ml
"Cameron ""Giuliano"" 2015 750ml"
Cameron Giovanni Pinot Blanc 2015 750ml
Cameron Winery Abbey Ridge Pinot Noir 2014 750ml
"Cameron Winery, Nebbiolo 2014 750ml"
"Flavio Roddolo ""Bricco Appiani"" Langhe Rosso, Cabernet Sauvignon 2008 750ml"
Cameron Winery Riserva Pinot Noir 2016 750ml
Cameron Winery Abbey Ridge Pinot Noir 2015 750ml
Bussi Mauro Barbaresco Nebbiolo 1999 750ml
Bussoletti Colle Ozio Grechetto 2016 750ml
"Ca del Monte Amarone Della Valpolicella Classico DOCG Corvina, Rondinella, Molinara 2009 750ml"
"Ca' de Noci Rosso Frizzante ""Sottobosco"" Lambrusco Montericco, Malbo gentile, Lambrusco Grasparossa, Spergola 2017 750ml"
Castello Di Neive Barbaresco Santo Stefano Nebbiolo 2009 750ml
Castello Di Rubbia Trubar Vitovska 2005 750ml
"Castello Di Verrazzano Chianti Classico ""Sassello"" Riserva Sangiovese 2007 750ml"
"Grifalco ""Damaschito"" Aglianico del Vulture 2018 750ml"
"Castello Romitorio, Brunello Di Montalcino 2008 750ml"
Cataldo Calabretta Ansonica 2015 750ml
Cavalleri Franciacorta Rose 2007 750ml
Cascina Corte Vigna Pirochetta Dolcetto di Dogliani 2012 750ml
Cascina Degli Ulivi Gavi Filagnotti Cortese 2011 750ml
"Cascina Ebreo Rosso Dolcetto, Nebbiolo, Barbera 2016 750ml"
"Castell'In Villa ""Santacroce"" Cabernet Sauvignon, Sangiovese 2003 750ml"
"Castello Della Paneretta Vin Santo Trebbiano, Malvasia 2009 750ml"
"Castello Di Fonterutoli ""Siepi"" Sangiovese & Merlot 2013 750ml"
"Tenuta San Guido, Guidalberto 2020 750ml"
Caparzo Brunello Riserva Sangiovese 2009 750ml
Carl Ehrhard Rheingau Auslese Riesling 2001 750ml
Carl Ehrhard Berg Roseneck Pinot Noir 2015 750ml
Casa D'Ambra Tenuta Frassitelli Biancolella 2018 750ml
"Cascina Bretta Rossa Dolcetto ""Taja"" Dolcetto di Ovada 2013 750ml"
"Cascina Bretta Rossa Barolo ""Case Nere"" Nebbiolo 2011 750ml"
Cantina Terlano Quarz Sauvignon Blanc 2015 750ml
"Terlano ""Kreuth"" Chardonnay 2017 750ml"
Cantine di Indie Lunedi Bianco Trebbiano d'Abruzzo 2016 750ml
Cantine di Indie Lunedi Rosso Montepulciano 2016 750ml
Cantine di Terravecchia Citerna Uva Di Troia 2014 750ml
"Cantine Matrone Lacryma Christi del Vesuvio Caprettone, Falanghina 2016 750ml"
